999999,67,4010,0,00:03:21.900 --> 00:03:22.650,response,Teacher,Farrah,180.1,
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student that's correct wouldn't need order protect while they're outer space moon 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student both correct what machine y needed locate find able article from moon 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student they're necessarily wrong
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,really good answer student really good answers
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student there's nothing wrong student answer
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student small machine correct
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student small machine collect water moon
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student answer said think scientific tool called microscope look really closely right student
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student ma'am keep student answer same
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,good good right student question
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student well that's correct certain equipment moon
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student okay s answer about moon okay astronaut things around oxygen order moon correct
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,thank student absolutely none wrong correct extent thank being here lunch
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student exactly right also says second paragraph could breathe oxygen suits oxygen tanks when they're moon when they're space
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student yeah student exactly right here thank added comment
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student microscope used there other some other equipment also used probably just piece equipment
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student maybestudent answer correct
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student okay thank that's great thing circl
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student right saying student student answer wrong
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student rightly said machine 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student small machine that's right 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student answer wasn't wrong question disagree
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student wrong student still correct will need microscope want water
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student would awesome very good thinking
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student one's answer wrong
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,very good student student answer needs little further
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student think maybe long r search future could possibility 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student okay student right equipment part question
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student water other things like garden like said 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,"student yeah no ice pointed oxygen tanks really cool answer gave there more information always learn didn't know before know name orbiter, learn"
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student well definitely helped because know space there's oxygen tanks help breathe equipment
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student because send small machine called think probe something
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student could then guess would would good investment because would could grow things side planet
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student mean he's wrong
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,perfect excellent okay student
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student okay several types equipment okay thank
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student okay sorry believe student answer wrong student everybody's answer
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student answer very right microscope
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,figure answers student need scientific tool called microscope look really closely correct miss student need microscope look very closely 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,equipment student correct things before start explorations right student 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,getting little topic here student said astronaut oxygen tanks space shuttles types equipment student right about 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,would would really useful student what about
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student right will take time money might worked student
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student think well water because looking what what equipment used find water there other important word
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student didn't student answer isn't wrong just wanting find kind even more about nasa sent small machine correct expand
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,good that's right that's right sorry missed student student answer student sent mall machine that's very good student exactly right that's tool looking
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student using microscope find water just look water found
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,microscope class where student found paragraph three
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,good class hear while student reading 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,wonderful answer class else want answer
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student answer correct because microscope tool equipment very broad when comes machine tool what refer
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student yeah student answer wouldn't wrong
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student cute yeah don't think wrong
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student answer wrong student
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student small machine well don't think student wrong
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student answer incorrect
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student right what could also include scientist tool called microscope discover water moon 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student answer correct 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,correct equipment student both correct oxygen tanks that's specifically what hadn't used find water crater
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student going student response wrong means okay
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student maybe student answer right answer nasa send small machine look what written actually look number there
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student didn't student answer wrong
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student said small machine lunar orbiter type machine student answer right 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student answers wrong
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,right different types equipment scientist class right oxygen tanks space suits equipment equipment help discover water
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student really good stating scientist found crater full water moon 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student could something drink could something could stay clean good 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student right great understanding what water even valuable moon
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,yeah drink bake great class thank 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student mean small machine student student still correct 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student well would definitely know really come handy know scientist astrologers might perhaps moon
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student would definitely know perhaps provide sort know sort some greenhouses might able construct moon perhaps scientist could even perhaps grow vegetables something grow moon
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,just likebrought about space he's looking into knows just about equipment about space student
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student when looked over student answer there some great points brought about wasn't wasn't wrong what
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,great that's good connection loved student response about word used word hydrate hydrate student said 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student like response because that's something student proving whenever asked about garden what makes think could student telling
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student thought great idea look glad looked detail about hearing shoes because heavy
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student great there's dealing article because that's like equipment right like read about equipment passage 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student okay good response 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,okay know what student sounds like good point maybe there there's probably more just thing used find water
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student gave really good answers 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student student answer wrong paragraph three talks about water found microscopic meaning wouldn't able think that's where thinking would need tool walk microscope types things moon help understand more 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student nothing's wrong student paragraph
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student pretty good definitely lunar orbiter 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student that's absolutely true 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student right student answer seems pretty solid 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student answer's don't think student answer incorrect student answer's student answer correct
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,yeah that's great point student would oxygen tanks stuff actually explore moon yeah would need equipment 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student answer necessarily wrong
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student student answers necessarily wrong
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student that's definitely true scientist find crater full water moon 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student okay glad student no ice
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student went right into said scientist want crater some water moon true 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,exactly right equipment tool class correct stating both things microscope
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student small machine both equipment tool
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student absolutely correct appreciate sharing fact article today discusses importance oxygen 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student answer drink water stay hydrated very good answer mentioned here text 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student extremely extremely close 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student saying saying wrong didn't machine y think whenever talked about question find student actually went wrong disagree
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student weren't wrong after
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,very good like student said equipment like oxygen tanks moon able survive moon 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student didn't wrong student answer isn't wrong
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,okay well going second rightwrong just going there different answer okay right student share what underline paragraph
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student said needed tool called microscope look really closely true 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student exactly exactly need special tool called microscope little microscopic whatever ends being case microscopic amounts water
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student essence kind both correct
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student reality sure teacher would count wrong included every
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student know lunar order microscope just about anything don't think counted wrong because technically correct
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student every little moon find water technically correct 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student yeah would based text here they've used different equipment discover there water moon
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,good student exactly right look paragraph three will fact says need microscope
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student fact microscope part answers right microscope 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,will student student answer right 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student suppose large polar crater right okay student answer correct equipment there deposit 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student okay test hear about might need microscope view water molecules right 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student answer wrong
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,okay could water student 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student love found microscope used find water
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student said 100 correct said nasa send small machine 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student everybody's answer correct 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student don't think student answer necessarily wrong small machine
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,class gave answers very valid
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student yeah good answer 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student yeah that's very well eloped answer 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,"student long gathered information about values then student answer correct whether think,"
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,just going student just want start really enjoy student answer really picked from text 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student really picked object which microscope basically kind described what used outside text using language really appreciate
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student yeah student answer right scientist find crater full water moon student right 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student that's awesome student then help figure couple questions 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,glad class kind help follow prompt question answering glad student here rightevidence
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student nailed absolutely much equipment science nasa play like lasers jealous thumbs tool
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,love know much prior knowledge about space yeah appreciate know think you'll bring whatever class student 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student glad glad hear think will contribute student knowledge 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student yeah happy hear already 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,facilities museums think student probably talk about feed both share interest space thank sharing 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,good well means help think student background knowledge going very helpful class student 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student well really glad feel like good understanding space just just talk really about answer real quick excited hear what share though whenever student turn 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,glad student really excited learn about space student 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student well completely understand tell from student answer know things about space because talked about oxygen tanks tell know about space just want help drill specific answer question okay 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student well would awesome didn't know taught something 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,don't think should class well glad student class because maybe help some questions answered glad student here
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,really like fact knowledge about because tells student probably really interested space student help understand 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student well know what because know means help rest don't know much
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student well will really help knowing some things because might able teach some things don't know 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,"student even that's ice thing about because know different information where know little more maybe teach some things along okay, disagree"
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student know about space 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,"such awesome information proud look information student free time can't wait share information rest student when back, question"
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student right love know there's oxygen tanks ice thumbs that's awesome love know about oxygen 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,"sure student could probably tell more share information together, expand"
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student then you'll able help explore little more about what what we've read aboutquestion
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student know know about space know really help here 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student that's awesome love know because very very helpful necessary astronaut there
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student that's wonderful well maybe you'll able help answer question little differently think could student listening ears maybe help answer question better sound okay
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student wonderful what experience
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student yeah that's great that's great connection neat student nasa before love 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,well student that's exactly need here need here help help
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,awesomewell thanks much joining really need class today since know about space okay thank 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,okay maybe there something don't know would like learn will grateful after student learn thing learn
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,really cool maybe should tell about another student about everything there 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student seems really awesome 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student astronaut that's know about space
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,that's good maybe today another student share something learned from student
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,maybe share something know student 
