speaker,intent,text,clean_text,clean_intent,incorrect_code,revised
Teacher,110.2,"Uh huh. Yeah, but there's usually in in this passage that you guys read I didn't see a lot of equipment that they used, but you are very, very right. That's a good connection Chris. Good job.",,,,
Teacher,110.2,"Okay, so I've got a microscope really closely.",,,,
Teacher,110.2,"Your answer is not wrong. So, you, you're right, they did say that they used a microscope to look very closely. Okay. You're right about that.",,,,
Jazmin,110.2,"That was Farrah's answer, mine was about the small machine. I thought that that was be the right answer.",,,,
Teacher,110.2,"Oh, right. So, it is a small machine that is correct.","Oh, right. So, it is a small machine. that is correct.",,,
Teacher,110.2,"Right. So if we go back and look in that text is that, so they did have to use all that equipment to get to space. You are correct.",,,,
Teacher,110.2,"Exactly. And I did. And that's in the text, very good for looking at the text and pulling that out. Awesome job.",,,,
Teacher,110.2,And Jazmin once look at yours and NASA send a small machine which you are correct about that as well.,"And Jazmin, once look at yours and NASA send a small machine, which you are correct about that as well.",,,
Teacher,110.2,"Exactly, exactly. So I think you the three of you, you read this question and you understood the text.",,,,
Teacher,110.2,Right. And that is correct.,,,,
Teacher,110.2,That is the text very good for finding that pulling out all the texts Chris.,,,,
Teacher,110.2,I think what Chris Jazmin and Luis I think you guys you read the text and you understood the text.,,,,
Teacher,110.2,"Your answer is not wrong. Your answer is right because you were talking, your answer was especially talking about the equipment and you said that they need some microscope to look for water on the moon. So, you are right.",,,,
Teacher,110.2,Very good. That's a very good answer.,,,,
Teacher,110.2,"Yes and yes and actually they use oxygen and all the things that you say to be there in the moon to discover water. So yes, that's something really good to add Chris. Thank you. Oliver?",,,,
Oliver,110.2,"Um, yeah. So unfortunately, we have to go to lunch. But before we go to lunch. I just wanted to take a moment and thank you so much for working with us.",,,,
Teacher,110.2,"And I see it's the microscope. Very good, very good. Um, are there any other equipment you noticed in there, other than the microscope?",,,,
Oliver,110.2,"Um, I'm not sure. Um, I have to read it through again. Okay.",,,,
Teacher,110.2,"Absolutely, absolutely. You guys seem to be hitting a lot of this.",,,,
Teacher,110.2,"And I think Chris did really well in the kind of identifying a part of it that we haven't talked too much about and that's that. Oh, you know, they found craters full of water on the moon.",,,,
Teacher,110.2,"Um, and that was an important part of this, so very good job in identifying kind of like the main idea of the article we're reading. It's just the question might have been not necessarily trying to hit there, so Chris talk",,,,
Chris,110.2,"Yeah. Well, I went to NASA. And so I know that scientists use a lot of equipment like oxygen tanks and masks and suit stuff.",,,,
Teacher,110.2,"Now, they discovered the water. You got that right on the nose.",,,,
Teacher,110.2,I would say that a lot better answers the question. And if we wanted to make sure it was perfect. We might include how those,,,,
Teacher,110.2,You got a lot closer there. I like the growth and I see that we're definitely getting closer there. So we're starting your sort of response with you need right,,,,
Teacher,110.2,"Right, good. That's what I was trying to get out of you really want to look and be specific about what you're trying to look for when you respond to something right","Right, good. That's what I was trying to get out of, you really want to look and be specific about what you're trying to look for when you respond to something right?",,,
Teacher,110.2,"A small machine, right, perfect. What is that small machine called",,,,
Jazmin,110.2,"Well, I guess if I look at it, like, it says like the lunar orbiter, right, that they sent up in space",,,,
Teacher,110.2,"So you're both right. So, which is a good thing. That's great about working in groups. We all participate and contribute",,,,
Jazmin,110.2,"So, am I like more right because I was saying about the Orbiter and like Farrah is like sort of right? But you know, I'm like wondering.",,,,
Teacher,110.2,Right here where you couldn't because you wouldn't have the ability to look closely and Farrah good couldn't get it up to the moon without yours. So you're both right. You just didn't have the--,,,,
Teacher,110.2,"Well, good. I liked your answers. Scientists found craters full of water on the moon. So they did using what they,",,,,
Teacher,110.2,You are absolutely correct errors and you are that is very valuable when you're talking about spacecraft because it takes a lot of force to get stuff up in the air. Right. And if you don't have the heavy water.,,,,
Teacher,110.2,"Okay, and Jazmin. Your answer is not wrong.",,,,
Teacher,110.2,"Yes, Jazmin. So, earlier you asked you didn't understand why you were why your answer was wrong. Your answer was never wrong Jazmin's original answer was that scientist.",,,,
Teacher,110.2,"That's a very good point. You would need something to help you find what they were looking for when they were looking for the water,",,,,
Teacher,110.2,"I would like to see if Chris, you said that scientists found craters full of water on the moon. And they did",,,,
Teacher,110.2,"No. Your answer was correct it, you do need the microscope in order to see things that are very, very small that are smaller than what you can see with your human eyes",,,,
Farrah,110.2,"Oh, okay, great.",,,,
Teacher,110.2,"That's good. That's correct, yes. Jazmin.",,,,
Jazmin,110.2,"I guess my question is, like, so if Farrah's answer is right like is my answer wrong, just like the small machine like is that not like is that not the thing that like you used to discover the water like I'm confused. Like if my answers wrong",,,,
Teacher,110.2,That's correct. They wouldn't need all that in order to protect them while they're in outer space or on the moon.,,,,
Jazmin,110.2,"So did they send the astronauts with the machine or did they just send the machine, Chris?",,,,
Teacher,110.2,Both of you are correct. On what machinery is needed to to locate and find and to be able to see the particles from the moon.,,,,
Farrah,110.2,"Okay, that makes sense.",,,,
Teacher,110.2,They're not necessarily wrong.,,,,
Teacher,110.2,"But you had a really good answer, Jazmin. All of you had really good answers.",,,,
Teacher,110.2,There's nothing wrong with your answer.,,,,
Teacher,110.2,There you go. They could.,,,,
Teacher,110.2,A small machine that is correct.,,,,
Teacher,110.2,That a small machine did collect the water on the moon.,,,,
Teacher,110.2,"Your answer is. So you said you think of the scientific tool is called a microscope to look really closely at it. Right, Farrah?",,,,
Farrah,110.2,Yeah yeah,,,,
Teacher,110.2,So Farrah you are. You are correct with the microscope.,,,,
Farrah,110.2,"Oh, okay, okay.",,,,
Teacher,110.2,"No, ma'am. You can keep your answer the same.",,,,
Teacher,110.2,Good. Good job. All right. Luis You have a question?,,,,
Luis,110.2,"Um, yeah, I guess this is kind of a question. Um, so here's the thing. Like, I know all about space, like, I don't think I should be in this group, because I don't really get answers about space like wrong.",,,,
Teacher,110.2,"Well, that, that's correct. They have to have certain equipment to get to the moon.",,,,
Luis,110.2,"I didn't really read it so I can read it, I guess.",,,,
Teacher,110.2,"Okay Luis's answer was about how they got to the moon, okay so astronaut have to have things to fly around and have oxygen in order to get to the moon. That is correct.",,,,
Teacher,110.2,"Thank you. Jazmin and absolutely none of you were wrong. You were all correct to an extent, thank you for being here. Go on to lunch.",,,,
Teacher,110.2,It is,,,,
Teacher,110.2,"You're exactly right. And it also says in the second paragraph, um, that they do, they could not breathe oxygen. So they do use those suits and they do use oxygen tanks when they're up on the moon and when they're in space.",,,,
Teacher,110.2,"Yeah, you're exactly right here. So thank you for that added comment.",,,,
Chris,110.2,"Okay, so I'm reading it now. And the other thing I guess is that I don't see them talking about water in the paragraph about the Lunar Orbiter. So how can that be the right one, because they don't have discover in this one. Oh, I do see look for ice.",,,,
Teacher,110.2,Correct,,,,
Teacher,110.2,Scientists are a part of it.,,,,
Teacher,110.2,A microscope was used. There was other some other equipment also used so it's probably not just one piece of equipment,,,,
Chris,110.2,"Yes. So I was kind of thinking like, um, I was thinking that well, I went to NASA and I know that the scientists use lots of equipment like oxygen tanks masks and suits and maybe they use know that when they were finding like all that water in the craters.",,,,
Teacher,110.2,"Farrah. OK, so maybe Farrah your answer is correct.",,,,
Teacher,110.2,"Okay, thank you. So that's a great thing to circle.",,,,
Farrah,110.2,"Um, what equipment did telling us to discover water on the moon.",,,,
Jazmin,110.2,The lunar orbiter?,,,,
Teacher,110.2,"Right. And I'm not saying your, your answer is wrong.",,,,
Teacher,110.2,A garden. Okay. Yes.,,,,
Farrah,110.2,"I don't remember. The other thing it was the thing that you said Jazmin it's it's it if you if you can get water up there, then you don't have to take it with you, I guess.",,,,
Teacher,110.2,"And Jazmin, you rightly said that it's a machine.",,,,
Teacher,110.2,A small machine. That's right.,,,,
Teacher,110.2,"Your answer wasn't wrong they did use this question,",,,,
Teacher,110.2,It's not wrong. You're still correct they you will need a microscope. If you want to see the water.,,,,
Teacher,110.2,"Oh, that would be awesome. That is very good thinking",,,,
Teacher,110.2,"Yes, that is correct.",,,,
Teacher,110.2,And no one's answer is wrong.,,,,
Teacher,110.2,"Very good. So, Farrah. Do you see now why your answer needs to go a little bit further.",,,,
Farrah,110.2,"Um, I think I began to see, but I'm still kind of confused because so if they use the Lunar Orbiter to to find it, they couldn't see it without the microscope, like they had to go out and look at the crystals, right?",,,,
Teacher,110.2,"Well, it's not wrong.",,,,
Teacher,110.2,"but I do think that maybe a long, as we research and in the future, that could be a possibility that",,,,
Jazmin,110.2,I said that it definitely would be useful because the scientists can drink water and and people can't survive without water.,,,,
Teacher,110.2,"Okay, so you're right, they do use equipment and that was part of the question.",,,,
Teacher,110.2,"And they can use the water for other things like a garden, like you said, so yes.",,,,
Teacher,110.2,but you guys were right there at it so so,,,,
Chris,110.2,"What I say yes it's valuable cause it's heavy, and they don't have to carry it in ships.","What I say, yes, it's valuable, cause it's heavy, and they don't have to carry it in ships.",,,
Teacher,110.2,"Yeah a lot. I did notice that you you pointed out, the oxygen tanks. That was a really cool answer that you gave, but as you see there was more information that we always can learn that we didn't know before. Did you know the name of this orbiter?",,,,
Luis,110.2,"Well, I guess I didn't really like do the reading exactly. I kind of just like had my knowledge. But, um, so I guess no.",,,,
Teacher,110.2,"Well, it definitely helped them because you know in space. There's not a lot of oxygen. So you have to have those tanks to help you breathe. So that was one equipment that they did use",,,,
Teacher,110.2,"Well, that was right too",,,,
Teacher,110.2,Because they did send a small machine called think I was a probe Or something.,,,,
Teacher,110.2,"We could, and then I guess you would say that it would be a good investment because they would could grow things out side of the planet, but",,,,
Teacher,110.2,"So I mean he's not wrong,",,,,
Teacher,110.2,"Perfect. Excellent. Okay, Chris.",,,,
Teacher,110.2,"Okay, they use several types of of of equipment. Okay, thank you.",,,,
Teacher,110.2,Exactly.,,,,
Teacher,110.2,"Okay, I am sorry that you believe that your answer is wrong. Your everybody's answer is",,,,
Teacher,110.2,Your answer is very right they did use a microscope.,,,,
Farrah,110.2,"Oh yeah. Okay. So, in paragraph three, you need a scientific tool called a microscope to look really closely. So you have to see it. You can't see it without microscope.",,,,
Teacher,110.2,"Let's figure answers Farrah, so you need a scientific tool called a microscope to look really closely, you are correct Miss savanna, you need a microscope to look very closely",,,,
Teacher,110.2,"That is equipment, you're correct. They have to use all those things before they can start their explorations. That is right Chris.",,,,
Chris,110.2,Yeah.,,,,
Teacher,110.2,"We're getting a little bit off topic here, but Luis you said that astronauts have to use oxygen tanks in space shuttles, and those are types of equipment so you're right about that.",,,,
Teacher,110.2,It would and it would be really useful too. Luis What about you.,,,,
Luis,110.2,"Um, yeah. So I think for me like I was really interested in seeing like what kind of equipment they could use. And I was thinking about, like, you know that they have other equipment that they use. That's not necessarily in the reading but but I know we're supposed to focus on the so yeah",,,,
Teacher,110.2,"But you're right, it will take a lot of time and a lot of money. So it might not be worked at. Oliver.",,,,
Oliver,110.2,"Um, well, I actually read somewhere that there could be a base on the moon by 2024 so maybe it would be useful faster than Farrah and I thought.",,,,
Teacher,110.2,I think so as well water too because we're looking at what was what equipment was used to to find water there any other important words.,,,,
Teacher,110.2,"Oh, I didn't say that. No. No. No, your answer isn't wrong. We're just wanting to find kind of even more. OK? About it. So NASA did sent a small machine, correct?","Oh, I didn't say that. No. No. No, your answer isn't wrong. We're just wanting to find kind of even more. OK? About it. So NASA did sent a small machine, correct?",,1,
Teacher,110.2,"Oh, good. That's right. That's right. I'm so sorry that I missed your, your answer. Jazmin. Yes. So they sent mall machine. That's very good. You're exactly right. That's the tool that we're looking for.","Oh, good. That's right. That's right. I'm so sorry that I missed your, your answer. Jazmin. Yes. So they sent small machine. That's very good. You're exactly right. That's the tool that we're looking for.",,,
Teacher,110.2,That is correct.,,,,
Teacher,110.2,"And it does say that, um, does it. So are we using the microscope to find the water or to just look at the water that has been found?",,,,
Farrah,110.2,"Um, well okay so I I'm not really sure why my answer might be wrong, because I think the answer is that the microscope is what they use to to find the water you know what I mean? Tey had to look at the water to see it.",,,,
Teacher,110.2,"Yes, it was the microscope. Does everybody see where Farrah found that in paragraph three?",,,,
Teacher,110.2,"Good job, Jazmin. Did everybody hear that while Luis was reading",,,,
Jazmin,110.2,"Unfortunately, we have to go to lunch. But before we go to lunch. I just wanted to take a moment and I wanted to thank you for working with us today.",,,,
Teacher,110.2,That was a wonderful answer. Does anyone else want to add their answer to it.,That was a wonderful answer. Does anyone else want to add their answer to it?,,,
Teacher,110.2,Your answer is correct because the microscope is a tool. Now equipment is is very broad when comes two machines and tools and what you refer to them as,,,,
Teacher,110.2,"Yeah. Your answer is not, I wouldn't say that it's wrong.",,,,
Teacher,110.2,"Cute. Um, yeah, I don't think that it's wrong.",,,,
Teacher,110.2,"Your answer is not wrong, Jazmin.",,,,
Teacher,110.2,"A small machine. Well, I don't think that you're wrong.",,,,
Jazmin,110.2,"So yeah, so well. Okay, so when I was reading. I saw that",,,,
Teacher,110.2,"And so it's not that your answer is incorrect,",,,,
Farrah,110.2,"Yeah, definitely. I think I know what you mean.",,,,
Teacher,110.2,"Right. So what you could also include is that scientists use a tool called a microscope to discover water on the moon,",,,,
Teacher,110.2,Your answer is correct,,,,
Teacher,110.2,"Correct they did have to use the equipment so Luis and you are both correct that they did have oxygen tanks, but that's not specifically what they hadn't used to find the water and the craters.",,,,
Teacher,110.2,I'm not going to say your response was wrong by any means. Okay.,,,,
Teacher,110.2,"Maybe your answer is right. So you answer that that NASA send a small machine. And so if we look at what was written, actually, you can look at number two on there.","Maybe your answer is right. So your answer that that NASA send a small machine. And so if we look at what was written, actually, you can look at number two on there.",,,
Teacher,110.2,I didn't say your answer was wrong.,,,,
Teacher,110.2,That they said that small machine a lunar orbiter is a type of machine. So your answer was right.,,,,
Jazmin,110.2,"Yeah, yeah. I thought we were all here because all of our answers are wrong.",,,,
Teacher,110.2,It's not that your answers are wrong.,,,,
Jazmin,110.2,Yeah yeah,,,,
Teacher,110.2,"Right, so they. Those are different types of equipment that scientists use. So you guys are right and that they use oxygen tanks and space suits do do those equipment does that equipment, help them discover water.",,,,
Luis,110.2,"Um,",,,,
Teacher,110.2,So Chris. You did a really good job at stating that scientists found craters full of water on the moon.,,,,
Teacher,110.2,It could be something that we drink it could be something that we could use to stay clean. Good job.,,,,
Teacher,110.2,You're right. You did a great job with with understanding what water is even. How can it be valuable for us on the moon.,,,,
Luis,110.2,Because we can while we can drink it and we can take a bath and I'm,,,,
Teacher,110.2,"Yeah, we can use it to drink, we can use it to bake. Those are great job, guys. Thank you.",,,,
Teacher,110.2,And that is a great answer.,,,,
Farrah,110.2,"Yeah, absolutely. Um, okay. So, in paragraph, paragraph three","Yeah, absolutely.",,,
Teacher,110.2,"I mean, it is a small machine it, you're, you're still correct",,,,
Jazmin,110.2,"So yeah, I think it was a small machine. The lunar orbiter is what they sent because it was sent up and then they would like fly around the moon. And then I guess it lands on the moon, and then it would discover the water, I think",,,,
Teacher,110.2,"Well, that would definitely you know really come in handy for any, you know, scientists or astrologers who might perhaps be on the moon.",,,,
Teacher,110.2,"But it would definitely you know perhaps provide sort of, you know, sort of some greenhouses, that we might be able to construct on the moon. So that perhaps the scientists could even perhaps grow vegetables and have something to that that they can grow to eat on the moon.",,,,
Jazmin,110.2,"Yeah, that's really cool.",,,,
Teacher,110.2,"just like Luis brought up about space. He's looking into it. He knows this is not just about equipment but about space. Yes, Farrah.",,,,
Teacher,110.2,When I looked over your answer. There was some great points you brought about it. It wasn't that it wasn't wrong. It is what it is.,,,,
Teacher,110.2,"Great. And that's a good connection. So I loved your response, about the word you used, use the word hydrate, did you use hydrate Jazmin, you said it again?",,,,
Jazmin,110.2,You can stay hydrated.,,,,
Teacher,110.2,"I like that response because that's something you're proving to me whenever I asked you about the garden. What makes you think you could, and you're telling me.",,,,
Jazmin,110.2,"Yes. So if there was water, you could make a garden you could grow it using the water.",,,,
Teacher,110.2,"I thought that was a great idea to be you. Look at that. I'm glad you looked at that detail about hearing the shoes, because it's heavy.",,,,
Teacher,110.2,Great. And there's a lot dealing with article because that's like equipment right like you read about equipment in the passage that we had,,,,
Teacher,110.2,"Okay. Yes, good response.",,,,
Teacher,110.2,"Okay, you know what, Chris I. That sounds like a good point. So maybe there was there's probably more than just one thing used to find this water,",,,,
Teacher,110.2,And we all gave really good answers.,,,,
Teacher,110.2,"So your, your answer is not wrong. I'm in paragraph three, it talks about that the water they found us microscopic meaning that you wouldn't be able to see it. So I think that's where you were thinking that you would need a tool walk a microscope to see those types of things on the moon. Does that help you understand more.","So your, your answer is not wrong. I'm in paragraph three, it talks about that the water they found us, microscopic meaning that you wouldn't be able to see it. So I think that's where you were thinking that you would need a tool walk a microscope to see those types of things on the moon. Does that help you understand more?",,,
Farrah,110.2,"I think so, like, do I need to. I need them. They need the microscope to see the water or can they see it in another way.",,,,
Farrah,110.2,So no one's answer is wrong. It's just that some answers are,,,,
Teacher,110.2,But nothing's wrong with your paragraph.,,,,
Teacher,110.2,"This pretty good, but that is definitely one of the lunar orbiter does",,,,
Teacher,110.2,That's absolutely true so far.,,,,
Teacher,110.2,"So right now, your answer seems pretty solid.",,,,
Farrah,110.2,"I'm wondering, though, because we had to work on it together, is my answer is my answer wrong?","I'm wondering, though, because we had to work on it together, is my answer, is my answer wrong?",,,
Teacher,110.2,"So, Farrah, your answer's, I don't think your answer is incorrect. Your answer's your answer is correct.",,,,
Farrah,110.2,"Oh, okay, great.",,,,
Teacher,110.2,"Yeah, that's a great point. Chris. So, um, yes, they would have had to use these oxygen tanks and stuff to go out and actually explore the moon. So yeah, you would need that equipment.",,,,
Teacher,110.2,Jazmin your answer is not necessarily wrong.,,,,
Teacher,110.2,"You're in again your answers, not necessarily wrong.",,,,
Teacher,110.2,And that's definitely true scientists did find craters full of water on the moon.,,,,
Teacher,110.2,"Okay, so I'm glad you you've noticed that.",,,,
Chris,110.2,"Like you said to Jazmin, the name of the equipment, The name of the equipment that they used. Oh, yeah. I didn't write the name of the equipment.",,,,
Teacher,110.2,"Yes, you, you went right into you said scientists want crater some water on the moon. Again, true.",,,,
Teacher,110.2,So I think you guys,,,,
Teacher,110.2,"Are exactly right. So, uh, equipment is a tool. You guys are correct in stating that both of those things, the microscope and","Are exactly right. So, uh, equipment is a tool. You guys are correct in stating that both of those things, the microscope and",,2,
Teacher,110.2,The small machine are both equipment they are tools.,,,,
Teacher,110.2,"And that is absolutely correct. And I appreciate you sharing that with us. And in fact, our article today discusses the importance of oxygen.",,,,
Teacher,110.2,So Jazmin your answer That they can drink water and stay hydrated is a very good answer. And it is mentioned here in the text.,,,,
Teacher,110.2,"You did, um.",,,,
Jazmin,110.2,"Yeah, cuz I said that, yes, that there's convincing evidence and I said astronaut drink the water and stay hydrated and that you can't survive without water.",,,,
Teacher,110.2,"So you were extremely, extremely close.",,,,
Teacher,110.2,I'm not saying I'm not saying it's wrong. They didn't use machinery. I think whenever we talked about the question you get to find out that you're actually went wrong. You were,,,,
Teacher,110.2,You weren't wrong after all.,,,,
Teacher,110.2,It's not wrong.,,,,
Teacher,110.2,Very good. So like Luis said they do use equipment like oxygen and tanks to get to the moon and be able to survive on the moon.,,,,
Teacher,110.2,I didn't say it was wrong. Your answer isn't wrong.,,,,
Jazmin,110.2,"Oh, okay.",,,,
Teacher,110.2,"Okay well we're going to get to that in one second. All right, Farrah, and it's not wrong. We're just going to see if there was a different way to answer it. Okay. All right. Luis Can you share what you underlined in paragraph two,",,,,
Luis,110.2,"Um, yeah. So imperative to, well, I underline the same thing like small machine.",,,,
Teacher,110.2,So you said that they needed a tool called the microscope to look really closely and that is true,,,,
Teacher,110.2,"Exactly, exactly. We need that special tool called a microscope to see these little microscopic, whatever it ends up being, in this case it's microscopic amounts of water.","Exactly, exactly. We need that special tool called a microscope to see these little microscopic, whatever it ends up being, in this case it's microscopic amounts of water.",,2,
Chris,110.2,"You. Yeah, I didn't actually so I didn't really see anything in here but I kind of, I did have a question that came up from reading and it was like",,,,
Teacher,110.2,So in essence kind of both of them are correct.,,,,
Teacher,110.2,"In reality, I'm not sure any teacher would count it wrong, myself included, if you put  Every bit of it.",,,,
Teacher,110.2,"You know, if you put the lunar order and the microscope and just about anything. I don't think I'd counted wrong because technically that is correct.",,,,
Teacher,110.2,Every little bit that us to get to the moon and find the water is technically correct.,Every little bit that us to get to the moon and find the water is technically correct.,,1,
Teacher,110.2,"Yeah, so I would say based on our text here, they've used different equipment to discover that there was water on the moon.",,,,
Teacher,110.2,"Good job, Farrah is exactly right. You look at paragraph three, you will in fact see that it says you need a microscope.",,,,
Farrah,110.2,But I know that we're here in the group to sort of help with our answers. But I am not really sure why my answer is wrong. It seems it is the microscope,,,,
Teacher,110.2,"In fact, it is the microscope and part of the answers is right, it is the microscope.",,,,
Teacher,110.2,"I will say, Jazmin. And your answer is right.",,,,
Teacher,110.2,"Hmm, I suppose it's in a large polar crater, right? Okay now your answer is correct, they did use that equipment to see if there was ice deposit.",,,,
Jazmin,110.2,"I guess not, I guess they must have used all of them like different, like the microscop and the lunar orbiter.",,,,
Teacher,110.2,"Okay, now in the test we did hear about how you might need a microscope to view this this these water molecules. Right?",,,,
Teacher,110.2,With your answer is not wrong.,,,,
Teacher,110.2,"Okay, so that could be a one use of water. Luis?",,,,
Luis,110.2,"Um, yeah, like water can be split into two parts. It can be, you know, hydrogen and oxygen.",,,,
Teacher,110.2,"So I love how you found that a microscope was used to find water,",,,,
Teacher,110.2,You use those.,,,,
Teacher,110.2,It's not wrong.,,,,
Teacher,110.2,so you said you are 100% correct and it said NASA send a small machine.,,,,
Teacher,110.2,Everybody's answer was correct.,,,,
Teacher,110.2,I don't think your answer was necessarily wrong at all. It was a small machine.,,,,
Jazmin,110.2,"So, so how come I'm in this group.",,,,
Teacher,110.2,but you guys all gave answers that were very valid.,,,,
Oliver,110.2,"Okay, so you're saying I'm",,,,
Teacher,110.2,yeah it was a good answer.,"yeah, it was a good answer.",,,
Chris,110.2,I don't have to change mine either?,,,,
Teacher,110.2,yeah no that's a very well Olivereloped answer,"yeah, no, that's a very well Olivereloped answer.",,2,
Oliver,110.2,um well I I said it wasn't ready yet so I said no too.,,,,
Teacher,110.2,"but as long as we gathered all of the information about the values of it then your answer is correct, whether or not you think it is or not.",,,,
Chris,110.2,You know I I read that there could be a base on the moon by 2024.,,,,
Teacher,110.2,"I'm just going to go one by one. So, Farrah. I just want to start with you. I really did enjoy your answer. You really picked up from the text and",,,,
Teacher,110.2,"You really picked the object, which was a microscope and you basically kind of described what it's used for outside of the text and you were using language that I really appreciate it.",,,,
Teacher,110.2,Yeah. Your answer was right that the scientists did find craters full water on the moon. You're right.,,,,
Teacher,110.2,"I don't think your answer is wrong, we did read that you do need a Microscope to look closely at the moon, maybe we can rephrase that what do we use the microscope for? Do you remember?",,,,
Farrah,110.2,You yeah to look at really small thing.,,,,
Teacher,110.2,And Jazmin. I just want to tell you that your answer wasn't wrong.,,,,
Teacher,110.2,"yeah yeah and you're definitely correct the scientists in the text, they did find craters of water on the moon.",,,,
Teacher,110.2,"Okay, so your answer, I would not say that your answer is wrong, so you said yes water on the moon could be valuable because astronauts drink water.",,,,
Teacher,110.2,"So in the passage, it does say that there there's evidence that water can be found within the moon's polar craters which - that's a great piece of knowledge. That's something we always want to keep with us.",,,,
Teacher,110.2,Alright awesome Farrah I like how you told me how they used the microscope for the water that they found on the moon.,,,,
Teacher,110.2,So how do you think they would use oxygen oxygen tanks and stuff like that to find water on the moon What are those use for.,,,,
Chris,110.2,"Use to like breathe or walk or you know, to protect themselves from from the elements because it's really cool.",,,,
Teacher,110.2,"um well you're correct they do because they're on the moon, they need to be able to breathe to do their research to find the water correct yes.",,,,
Chris,110.2,yeah yeah.,,,,
Teacher,110.2,"equipment that you find whether it's in the text, or you think of it in your head.",,,,
Farrah,110.2,"Okay, well, I added like a longer answer than Jazmin's one and I, and I said, the name of the equipment in mind so So why is mine wrong.","Okay, well, I added like a longer answer than Jazmin's one and I, and I said, the name of the equipment in mind, so So why is mine wrong?",,,
Teacher,110.2,"Not necessarily wrong, I think that you did a good job, identifying that the microscope was the equipment and a microscope does look at things closely, but I wanted you to.",,,,
Teacher,110.2,It is.,,,,
Teacher,110.2,yeah absolutely good job.,"yeah, absolutely, good job.",,,
Oliver,110.2,"Oh okay teacher, I just looked at the clock it's time for us to go to lunch, but I wanted to say thank you for kind of.",,,,
Teacher,110.2,"So yeah, that's kind of how you could have done it. But yeah, this was a good start. Yeah, good foundation.",,,,
Teacher,110.2,"You your applied to it was scientists found creators, full of water on the moon, so your sentence isn't wrong and you bring up a good point that.",,,,
Teacher,110.2,"um the scientists found for creators, full of water on the moon on",,,,
Teacher,110.2,"So yeah just kind of thinking about more like that, but you did great you know it was it was a good answer you did awesome i'm.","So, yeah, just kind of thinking about, more like that, but you did great. you know it was, it was a good answer. you did awesome.",,,
Teacher,110.2,"wow you're you're a super right and that was perfect timing, because your classmate Luis his his sentence was scientists use a lot of equipment like oxygen tank so two great minds think alike, am I right.",,,,
Teacher,110.2,"i'm so Luis for your sentence, I have seen anything terrible wrong with it, but.",,,,
Teacher,110.2,"yeah um but other than that I, I thank you guys, like all the guys, I think I understood the passages like Well, yes, that.",,,,
Oliver,110.2,i'm sorry to interrupt teacher but it's time for us to go so we'll see you later.,"i'm sorry to interrupt teacher, but it's time for us to go, so we'll see you later.",,,
Teacher,110.2,"yeah that's awesome I see it, right in the second paragraph NASA send a small machine called a lunar orbiter to investigate so that's a great answer.",,,,
Teacher,110.2,"Right. OK, now that is correct.",,,,
Oliver,110.2,"Well, I'm thinking because you're asking that maybe it does.",,,,
