teacher,actor,text,Request (T),Action (S),intent,type,topic,coach_yn,step
67,Teacher,"awesome awesome okay Farrah and Oliver will pair up and and find the answer to that question, thank you folks",Task,,130.2,remark,0,1,4
67,Teacher,Okay Jazmin,Question,Respond,,remark,0,1,4
67,Jazmin,"Okay well Okay, I said NASA sent a small machine",,,,response,0,1,4
67,Teacher,that's right you totally did and NASA did send a small machine,,,110.4,remark,0,1,4
67,Teacher,Do you remember what they called that machine science has all sorts of wacky names for their machines so that's what we're looking for we're looking to see if we can find The name of what that small machine was. Do you remember?,Question,Respond,210.4,remark,0,1,4
67,Jazmin,I don't know if I could remember but I have to look so yeah,,,,response,0,1,4
67,Teacher,"yep totally yeah look at the text look back, I think it's close to that same line about the small machine i'm not sure, but let us know",Task,Read,210.4,remark,0,1,4
67,Jazmin,"Okay, and NASA sent a small machine called a lunar orbiter",,Respond,,remark,0,1,4
67,Teacher,nailed it yes Jazmin high five hashtag awesome lunar orbiter is the name of the machine great,,,110.4,remark,0,1,4
67,Teacher,"Farrah and Oliver are you ready to come back to us with an answer, or do you want me to to investigate some other answers first",Question,Respond,210.3,remark,0,1,4
67,Farrah,"Okay well um so we we saw where it said lunar orbiter and we also heard you tell Jazmin that lunar orbiter is the right answer, and so I guess, I guess, I know that now, but I don't know um how I how I would have picked lunar orbiter instead of microscope does that make sense",,,210.3,response,0,1,4
67,Teacher,"I yeah totally um so the microscope if you look at the are three sentences Here are three paragraphs In paragraph three, it says the water they found is microscopic meaning you wouldn't be able to see it if you were looking straight at it, you would need a scientific cool tool called a microscope to look really closely so there's the part with the microscope but, if we go before then. We see where you found it called the Lunar orbiter and paragraph two right?",,,210.4,remark,0,1,4
67,Teacher,"It says NASA send a small machine called a lunar orbiter to investigate and so that is the question of what equipment did scientists use to discover water on the moon, not to look at it afterwards, does that make sense",Question,Nod Yes,210.2,remark,0,1,4
67,Farrah,Oh yeah okay okay so First they find it with the orbiter and then then also it's like they then they like study it they study it with a microscope,,Respond,210.2,response,0,1,4
67,Teacher,Totally You got it,Affirmation,,110.4,remark,0,1,4
67,Teacher,Oliver are you are you on board with that,Question,Respond,130.2,remark,0,1,4
67,Oliver,um yeah yeah that makes a lot of sense it's like they use one then they use the other,,,130.2,response,0,1,4
67,Teacher,You got it awesome,Affirmation,,,remark,0,1,4
67,Teacher,"Chris, Do you want to talk about your answer, do you have a different question",,Raise Hand,,remark,0,1,4
67,Chris,"Oh well, it's kind of a comment",,,,response,0,1,4
67,Teacher,let's hear it,Question,Respond,,remark,0,1,4
67,Chris,I went to NASA yeah I went to NASA and so I know that scientists they use a lot of equipment like oxygen tanks and masks and suits,,,,response,0,1,4
67,Teacher,"You nailed it they absolutely do they use so much equipment in science and NASA and they get to play with like lasers all day and I am jealous of them, yes thumbs up",Affirmation,,110.3,remark,0,1,4
67,Teacher,"So let's see Chris what answer, did you put for the question what equipment did scientists use to discover water on the moon",Question,Respond,120.4,remark,0,1,4
67,Chris,"Oh man oh I just looked at the clock and we have to go to lunch. But I wanted to say thank you so much for coming in and bringing so much energy and helping us learn in such a fun way I didn't know that this was going to be so fun looking at this article, and I just wanted to say thank you for listening and explaining but also making it fun",,,120.4,response,0,1,4
67,Teacher,awesome thanks Chris have a good lunch,Affirmation,smile,,remark,0,1,4
67,Teacher,"Hello um I think these are all really great starting answers, and I just want us to really work on looking at this text, a little more, so that we can make our answers more complete and built on textual evidence that we see in the reading and so Can I get a yes",Closed Question,nod yes,220.1,remark,0,1,4
67,Teacher,Luis you have something to ask her sure,,Raise Hand,,remark,0,1,4
67,Luis,"yeah um so I I should it be, and this group I already know all about space",,,,response,0,1,4
67,Teacher,I love that you know you have so much prior knowledge about space yeah I appreciate that i'm you know I think you'll bring a lot to whatever group that you're in,Affirmation,smile,110.3,remark,0,1,4
67,Teacher,I think we all have different strengths here and I just want us to really practice not just like knowing the content but also being able to use the skill of backing our responses up with text with evidence from the text,Explanation,nod yes,220.1,remark,0,1,4
67,Teacher,Does that sound okay,Closed Question,verbal yes/no,150.1,remark,0,1,4
67,Luis,yeah okay i'll i'll stick around,,,150.1,response,0,1,4
67,Teacher,i'm glad i'm glad to hear that I think you will have a lot to contribute with your knowledge,Affirmation,,110.3,remark,0,1,4
67,Teacher,um so I was wondering if I could get them volunteer to share Their answer and what they were thinking,Open Question,Verbal Response,120.4,remark,0,1,4
67,Teacher,"Like where where they found their answer in the texts, yes Farrah",,,230.2,remark,0,1,4
67,Farrah,"OK, so my answer is that you need a scientific tool called a microscope to look really closely on and about my my thinking so I found it in part three, and it talks about how the water is microscopic and you can't see it without a microscope",,,230.2,response,0,1,4
67,Teacher,yeah awesome so you identify and equipment,Affirmation,nod yes,110.1,remark,0,1,4
67,Teacher,"now um can I get someone else let's build on samantha's answer can I get someone else to talk about how This microscope would allow us to discover water so then we got the first part of the question right the equipment and now, can we get someone to think about how that connects to the discovering waterpark yes Oliver",Open Question,Verbal Response,130.2,remark,0,1,4
67,Oliver,"Um yeah. I can do that because I had the same answer Farrah about the microscope and so, in terms of discovering the water The water so small that you can't discover something you can't see, so I would need a microscope to see it to discover it",,,130.2,response,0,1,4
67,Teacher,"amazing yeah I love that and and I love that you are you agree with Farrah and you're adding more to the answer and together, you guys have collaborated on Even better answer",Affirmation,smile,310.1,remark,0,1,4
67,Teacher,"So yes, great so you have this microscope and we're saying that we need it because to discover the water, because the water is so small that you wouldn't be able to see it otherwise awesome ",Affirmation,,230.3,remark,0,1,4
67,Teacher,yes Jazmin,,Raise Hand,,remark,0,1,4
67,Jazmin,So I have a different answer on My necessary such a small machine And I don't understand why my answer is wrong,,,230.3,response,0,1,4
67,Teacher,"Your answer is not around, I think that there are multiple answers here right so we've identified one equipment you actually",Explanation,,110.2,remark,0,1,4
67,Teacher,"i'm glad you brought this up, because I was just about to ask what other answers people had, so why don't you share a little bit about what you were thinking with your answer",Open Question,Verbal Response,230.1,remark,0,1,4
67,Jazmin,"Okay, so I found that in Part two And it's in the very first sentence, it says NASA Center small machine",,,230.1,response,0,1,4
67,Teacher,yeah and what does the machine call,Open Question,Verbal Response,210.4,remark,0,1,4
67,Jazmin,A lunar orbiter,,,210.4,response,0,1,4
67,Teacher,"awesome a lunar orbiter now let's have someone else add to that answer, so how did that allow scientists to discover water on the moon? Yes, Luis",Open Question,Verbal Response,130.2,remark,0,1,4
67,Luis,"Okay, so the Lunar orbiter I think it's kind of like a robot thing, and it can go into the craters the dark the dark moon graders and that's how it can find that that tiny, tiny water",,,,response,0,1,4
67,Teacher,"tiny water well can, yes I love that, so we have this lunar orbiter and it's going into this polar crater and it's looking for the small water and where's the small water located in",Affirmation,nod yes,210.4,remark,0,1,4
67,Luis,and greater,,,210.4,response,0,1,4
67,Teacher,"And what form so so, is it like we're looking for a giant lake so we're looking for what can we yeah well for me, what form is the water in what is the same, the text in part two, yes don't",Open Question,Verbal Response,210.4,remark,0,1,4
67,Luis,fit as a water as ice,,,210.4,response,0,1,4
67,Teacher,"Yes, ice and ice deposits, yes Chris",Affirmation,Raise Hand,110.1,remark,0,1,4
67,Chris,"Okay, well, so I went to NASA so I know that scientists they use a lot of equipment like oxygen tanks and masks and suits",,,110.1,response,0,1,4
67,Teacher,"yeah I did I am so happy to hear that you already know so much about or like you went to NASA that's really awesome i've always wanted to go check out like nasa's and facilities and museums and I think you and Luis probably have a lot to talk about feed both share the interest in space, thank you for sharing",Affirmation,smile,110.3,remark,0,1,4
67,Teacher,yeah so definitely a lot of different equipment and even in this reading right we've already identified two different,Affirmation,,230.3,remark,0,1,4
67,Teacher,"and I love that you guys are really using the reading and pointing to specific parts and sentences in the reading to help equipment that allow us to discover water on the moon You come up with your answer and I think we already, so now we have identified two different equipments and you guys were able to build on each other's answers to",Explanation,nod yes,310.1,remark,0,1,4
67,Teacher,"Add on, you know how exactly those equipment were used to discover water on the moon right, so I think each of you had like a piece of it, and then we just had it to we just needed to add on to that, so we have the microscope And that microscope was used so actually sorry um",Explanation,,130.1,remark,0,1,4
67,Teacher,Let me just stop pause for a minute and see if you guys have questions yeah Farrah,Open Question,Verbal Response,150.1,remark,0,1,4
67,Farrah,"Okay, well, so my question is, is it Okay, if I just say the microscope or do I have to less like all of the equipment, like the microscope and the orbiter and the oxygen tanks and masks and things",,,150.1,response,0,1,4
67,Teacher,"Well, so I think that first you use, you can start with one right and then focus on really building that answer out Ray so identifying the the scientific the scientific equipment And then being able to explain how that equipment was used to discover water on the moon, and then, once you've gotten that you can add on to your answer ",Explanation,nod yes,420.2,remark,0,1,4
67,Teacher,yes Oliver,,Raise Hand,,remark,0,1,4
67,Oliver,"i'm i'm so sorry I just looked up a clock and it's time for us to go to lunch, but I just wanted to say thank you so much for encouraging us to build on our answers but also build on each other's answers on and make them way better that was so helpful Thank you so much",,,420.2,response,0,1,4
67,Teacher,You guys enjoy your lunch,,,,remark,0,1,4
69,Teacher,"Hello so um I pulled you guys together, I want to take a look at the question that we're answering again as a group um let's see we pull this question up",Explanation,,,remark,0,0,3
69,Teacher,"And Farrah Would you mind reading for us again, the question that we're going to be answering together?",Task,Read out loud,120.3,remark,0,0,3
69,Farrah,Okay it's what equipment that scientists to use to discover water on the moon,,,120.3,response,0,0,3
69,Teacher,"Excellent and Oliver could you read what is the second part of that, what are we circling",Task,Read out loud,120.3,remark,0,0,3
69,Luis,"excuse me, I have my hand up",,Raise Hand,120.3,response,0,0,3
69,Teacher,Oh i'm so sorry I had you blocked with my half of my screen was blocking you I apologize yeah Luis,,,,remark,0,0,3
69,Luis,"Well, I just wanted to say before we go too far, I shouldn't be in group I already know all about space",,,,response,0,0,3
69,Teacher,"Oh good, well, that means that you can help us, I think that your background knowledge is going to be very helpful for us in this group Luis",Affirmation,smile,110.3,remark,0,0,3
69,Luis,Reacher Every Reader: possible,,,110.3,response,0,0,3
69,Teacher,"Okay, I think, part of what we're doing right now is this isn't just about our knowledge of what we're learning we're going to think about the evidence we're looking for in that text to OK, so the background knowledge is going to be great and it's going to help us To understand a little bit what we're reading, but we specifically also want to look for evidence right",Explanation,nod yes,220.1,remark,0,0,3
69,Teacher,"and that's deb that's what I was going to ask you to read, is that second part of the question, there you see where it says circle",Task,Read out loud,120.3,remark,0,0,3
69,Chris,"yeah I can do up um it says circle, the evidence and the text that we can use to answer this question",,,,response,0,0,3
69,Teacher,Excellent so we're looking for equipment that they use to discover water on the moon,Explanation,,120.2,remark,0,0,3
69,Teacher,and we're going to keep our eyes open,,,420.3,remark,0,0,3
69,Teacher,"And to recap we're going to look for that evidence so let's let's do a quick reread as a group of this so to keep going around Chris, if you wouldn't mind reading the first paragraph there, where it says one For the name of the equipment they use",Task,Read out loud,120.3,remark,0,0,3
69,Chris,"yeah okay um part one, scientists have found evidence that water can be found deep within the rooms polar craters these craters are dark places where the sun never shines",,,,response,0,0,3
69,Teacher,"Excellent Jazmin could you read the second paragraph, for us",Task,Read out loud,120.3,remark,0,0,3
69,Jazmin,"yeah, I would like to because this is where I found my answer it says",,,120.3,response,0,0,3
69,Jazmin,Okay NASA send a small machine called a lunar orbiter to investigate this lunar orbiter looks for ice deposits in a large polar crater these isotope posits are very small,,,,response,0,0,3
69,Jazmin,"And so, my answer was from this park it's a NASA scientist small machine, so I don't understand why my answer is wrong",,,,response,0,0,3
69,Teacher,"Well let's think about it, how can we make that even more specific Jazmin because you're absolutely right, they did send a small machine, how can we were in the text, can we find something that's going to give you even more specific information about that small machine",Open Question,Verbal Response,420.2,remark,0,0,3
69,Jazmin,Oh well in the part I just read it says they use it to investigate and look for iced deposits,,,420.2,response,0,0,3
69,Teacher,"Yes, good the investigation part is good, let me look at the question again",Affirmation,smile,110.1,remark,0,0,3
69,Teacher,"What equipment, did they use okay so i'm i'm looking for a name to what's the name of the small machine and he came",Read Aloud,Verbal Response,210.4,remark,0,0,3
69,Jazmin,name is,,,,remark,0,0,3
69,Teacher,"Excellent, so I would say, if you added that to your answer that would make it Nice and specific",Explanation,,420.2,remark,0,0,3
69,Teacher,"does so, what other folks think about this now is that where we want to agree as an answer go ahead Farrah",Open Question,,130.2,remark,0,0,3
69,Teacher,"So Okay, we might have found our answer in the second paragraph we're thinking that perhaps the equipment that they used is this small machine called a lunar orbiter to investigate",Explanation,,230.3,remark,0,0,3
69,Farrah,"And so I found my answer and part three, I said, you need a scientific tool called a microscope to look really closely and that's evidence from the text also",,Verbal Response,130.2,response,0,0,3
69,Teacher,"yeah and you pulled out something very specific and you found another piece of equipment that was method mentioned in the text, which is very good, as well",Affirmation,,310.1,remark,0,0,3
69,Teacher,"Luis just to get your voice in here let's take a look at that last paragraph, real quick Would you mind reading number three for us",Task,Read out loud,120.3,remark,0,0,3
69,Luis,"yeah you got it Okay, that means that the moon Estelle drier than the driest desert on earth water they found as a microscopic meaning you wouldn't be able to see it if you were looking straight at it, you need a scientific tool called a microscope to look really closely",,,120.3,response,0,0,3
69,Teacher,"Thank you so much Okay, so the question is asking us what equipment and scientists use yes Chris",Open Question,Raise Hand,120.2,remark,0,0,3
69,Chris,"Well, since we're talking about equipment, I wanted to say, I went to NASA and so I know that scientists use a lot of equipment like oxygen tanks and masks and suits",,,120.2,response,0,0,3
69,Teacher,Nice yeah they do use a lot of equipment yeah,Agree,nod yes,110.1,remark,0,0,3
69,Teacher,"That is yeah and I think there, we can see, even in this very short text that we see two different pieces of equipment mentioned right we sad the lunar orbiter and we're seeing this thing about a microscope so even just in a few sentences we're seeing multiple pieces of equipment, but how do we decide which one is the answer to this question right",Explanation,,210.4,remark,0,0,3
69,Teacher,"So what equipment, did they use to discover water on the moon",Open Question,,120.2,remark,0,0,3
69,Teacher,did they did this third paragraph tell us that the scientist used the microscope to find the water,Explanation,,210.4,remark,0,0,3
69,Farrah,"Oh well, I guess, if something is so small that you can't even see it, how can you discover it don't you need to see it",,Verbal Response,120.2,response,0,0,3
69,Teacher,"but do we know for sure, does the paragraph tell us that they they had to does it say the scientists used one",Open Question,,210.3,remark,0,0,3
69,Teacher,yeah so you're you're you're thinking they might have needed to use a microscope to see it,Explanation,,230.3,remark,0,0,3
69,Farrah,"It says, you need a scientific tool",,Verbal Response,230.3,response,0,0,3
69,Teacher,"yeah you you so maybe I think you're raising a good point that they might have needed to use something like a microscope but we don't know for sure, because it doesn't say that the scientists definitely used a microscope Go ahead",Explanation,Raise Hand,410.3,remark,0,0,3
69,Oliver,"Oh yeah I just want to lock on and it's time for us to go to lunch, but I just wanted to say thank you so much for helping us go back into the text and look for evidence And look really closely at all of the words, even just where it said you'd need even that was important and so thank you so much for helping us learn that today",,,,response,0,0,3
69,Teacher,Thanks Oliver,,,,remark,0,0,3
71,Teacher,"All right, i'm ready to start simulation",,,,remark,1,1,2
71,Teacher,Hello everyone welcome Thank you so much for being here today,Greeting,smile,,remark,1,1,2
71,Chris,teacher,,,,remark,1,1,2
71,Teacher,hi Chris,,,,remark,1,1,2
71,Teacher,"So today we are going to dig more into our question what equipment and scientists use to discover water on the moon, so thank you all for sharing your answers",Task,Raise Hand,120.2,remark,1,1,2
71,Teacher,yeah Luis what's up,Question,Verbal Response,,remark,1,1,2
71,Luis,"i'm excuse me, I should be in this group I already know all about speed",,,,response,1,1,2
71,Teacher,"yeah so Luis we're learning about space, a little bit, but we're also practicing our good science thinking skills, so we can all learn more about our science thinking skills Luis",,,150.1,remark,1,1,2
71,Luis,Okay,,,150.1,response,1,1,2
71,Teacher,Luis why don't you tell me more about your answer what made you say what you said,Question,Verbal Response,230.1,remark,1,1,2
71,Luis,"That scientists use oxygen tanks, while cuz I know that's something that they have to do is if they're ever going to go to space",,,230.1,response,1,1,2
71,Teacher,I love that you brought in that background knowledge Luis that fact about some about the scientists and astronauts needing those oxygen tanks that's really awesome background knowledge,,,310.1,remark,1,1,2
71,Teacher,"I am wondering if you can pull out some information from the text that we used so, can you find a specific piece of equipment mentioned in this text Luis",Task,Read,420.3,remark,1,1,2
71,Luis,"Oh okay, let me see, now they know water deep craters. Small machine that's equipment lunar orbiter, it's not your microscopic scientific tool that's equipment microscope that's clear but OK so there's four four times they mentioned equipment in the story",,,420.3,response,1,1,2
71,Teacher,"awesome Luis and which piece of equipment, do you think is the most important here.",Question,Verbal Response,210.4,remark,1,1,2
71,Luis,"Oh, I don't know",,,210.4,response,1,1,2
71,Teacher,"All right, i'll let you think about that question, while I work with someone else and then i'll come back to you okay",Task,nod yes,110.1,remark,1,1,2
71,Luis,Okay,,,110.1,response,1,1,2
71,Teacher,"All right, Jazmin, can you tell me more about your answer what made you say NASA sent a small machine",Question,Verbal Response,230.1,remark,1,1,2
71,Jazmin,yeah I don't understand why my answers wrong,,,230.1,response,1,1,2
71,Teacher,I actually love your answer a lot Jazmin um my question for you,,,,remark,1,1,2
71,Teacher,"so, can you look at the text Jazmin and see what the machine does",Task,Read,420.3,remark,1,1,2
71,Teacher,"you mentioned the small machine, but a better answer would tell me what the machine does",,,420.2,remark,1,1,2
71,Teacher,"would be, can you tell me more about this small machine does",Question,Verbal Response,230.1,remark,1,1,2
71,Jazmin,It looks for ice deposits in a large polar crater and it lands at the moon South pole,,,230.1,response,1,1,2
71,Teacher,awesome so this little machine it lands on the moon,,,210.4,remark,1,1,2
71,Jazmin,uh huh,,,210.4,response,1,1,2
71,Teacher,awesome so Jazmin how could you rewrite your answer to include that piece of information,Question,Verbal Response,210.3,remark,1,1,2
71,Jazmin,i'm okay um NASA sent a small machine,,,210.3,response,1,1,2
71,Jazmin,To land on the moon and look for ice deposits analyze polar crater,,,,response,1,1,2
71,Teacher,yeah that's a great answer Jazmin,Affirmation,smile,110.1,remark,1,1,2
71,Teacher,Oh,,,,remark,1,1,2
71,Jazmin,Okay that's pretty easy I can just add that part to my answer and then i'm done,,,,response,1,1,2
71,Teacher,yeah and when you're done why don't you and Luis talk about Luis's new answer and compare your new answers while I work with other people,Task,Discuss,130.2,remark,1,1,2
71,Jazmin,I just need to write something down,,,130.2,response,1,1,2
71,Jazmin,and so we don't need to write anything just so we have to talk about it,,,,response,1,1,2
71,Teacher,"yep that's right you don't have to both write, you can talk when you're done writing Jazmin okay",Explanation,Nod yes,,remark,1,1,2
71,Jazmin,Okay,,,,response,1,1,2
71,Teacher,awesome alright,,,,remark,1,1,2
71,Teacher,"So Farrah and Oliver, you said you will have the same answer, so why don't we work together",Task,Discuss,230.3,remark,1,1,2
71,Teacher,and Chris i'll be with you in just a second,,,230.3,remark,1,1,2
71,Teacher,So,,,,remark,1,1,2
71,Teacher,"Farrah, can you tell me more about your answer and why you said what you did",Question,Verbal Response,230.1,remark,1,1,2
71,Farrah,"Oh yeah so my answer was i'm a scientist, You need a scientific tool called a microscope to look really closely. Why did I say it all cuz I think that was the answer to the question, and it was in the story, and we had to find our enter in the store",,,,response,1,1,2
71,Teacher,"Okay, so you read it in the story I love that you found it in the story",Affirmation,smile,310.1,remark,1,1,2
71,Teacher,"So Farrah can you read the line for me again where you found it in the story, what does it say",Task,Read out loud,230.2,remark,1,1,2
71,Farrah,"yeah i'm Okay, so it says, well, I mean that's the same it's this that's what it says it says, you need a scientific tool called a microscope to look really closely",,,230.2,response,1,1,2
71,Teacher,"Okay, and our question is what equipment did the scientists use so does that sentence mentioned that the scientists actually use a microscope Farrah",Question,Verbal Response,210.3,remark,1,1,2
71,Farrah,"Oh um in that sentence, no, I guess you need us, Oh no I guess I don't know",,,,response,1,1,2
71,Farrah,but we want to find a piece of equipment that the scientists actually used here,,,410.2,remark,1,1,2
71,Teacher,yeah so I love that you picked up on the microscope because it's really important when we're thinking about the word microscopic,Affirmation,smile,310.1,remark,1,1,2
71,Teacher,"Okay, so Oliver you had the same answer is Farrah, can you tell me why you put that answer as well",,,230.1,remark,1,1,2
71,Chris,"um yeah yeah, I can tell you Oh, you know what while he's looking did you I went to NASA and I do know that scientists use a lot of equipment like oxygen tanks and masks and",,,230.1,response,1,1,2
71,Teacher,"yeah so Chris you're right Those are all great examples of equipment, so you said that scientists found craters full of water on the moon, can you tell me more about that answer",Question,Verbal Response,230.1,remark,1,1,2
71,Chris,"yeah i'm cause I was looking for where they were talking about looking for water because that's what the question was asking about discovering water and in the first paragraph, they they say that water can be found deep within the moon's polar craters",,,230.1,response,1,1,2
71,Teacher,yeah so Oliver I love what you know about NASA and you're using evidence from the reading,Affirmation,smile,310.1,remark,1,1,2
71,Teacher,"can you read the question for me, what is the question actually asking Chris",Task,Read out loud,120.3,remark,1,1,2
71,Chris,"Oh yeah it says, or what equipment at times is used to discover water on the moon",,,120.3,response,1,1,2
71,Teacher,yeah So what did important word yeah Oliver,Question,Verbal Response,,remark,1,1,2
71,Oliver,"Oh well, i'm sorry to interrupt teacher, I just was looking at the clock and it's actually time for us to go so um thanks for working with us bye",,,,response,1,1,2
71,Teacher,Thank you everyone have a good recess or lunch or whatever,,,,remark,1,1,2
71,Teacher,bye bye,,,,remark,1,1,2
71,Teacher,Okay start simulation,,,,remark,2,1,2
71,Teacher,"All right, hi everyone welcome, so thank you so much for those answers Chris, I want to start with your answer so Chris, can you tell me more about what made you say your answer",Question,Verbal Response,230.1,remark,2,1,2
71,Chris,"yeah I was looking for the keywords about like discovering water on the moon, and in the first paragraph there's a part where they say water can be found deep within the moon's polar craters so that kind of felt like it",,,230.1,response,2,1,2
71,Teacher,Luis can I have just a second,,,110.1,remark,2,1,2
71,Teacher,"yeah I love, how you summarize that are Chris, alright, So I love, how you summarize the article Chris",Affirmation,smile,310.1,remark,2,1,2
71,Teacher,"One thing I want to ask you to look at is the first part of our question so, can you read the first part of the question for me Chris",Task,Read out loud,120.3,remark,2,1,2
71,Chris,Just the first one,,,120.3,response,2,1,2
71,Teacher,Did scientists yeah so we're thinking about equipment Chris Chris does your answer mentioned equipment,Question,Verbal Response,210.3,remark,2,1,2
71,Chris,It doesn't,,,210.3,response,2,1,2
71,Teacher,"awesome so Chris, I want you to go back to the text, and I want you to find me a piece of equipment that the scientists use okay okay okay awesome okay Luis i'm ready for you",Question,Verbal Response,420.3,remark,2,1,2
71,Luis,yeah okay um I don't think i'm a should be in this group I already know all about space,,,420.3,response,2,1,2
71,Teacher,"yeah, so why don't you tell me more about your answer, let me just say your answer",Question,Verbal Response,230.1,remark,2,1,2
71,Luis,"And I will, because I know that scientists use oxygen tanks to read",,,230.1,response,2,1,2
71,Teacher,"yeah Luis that's awesome background knowledge, thank you for bringing that background knowledge so",Affirmation,smile,310.1,remark,2,1,2
71,Teacher,"We are trying to use this text, so does this text mention those oxygen tanks at all Luis",Question,Verbal Response,210.3,remark,2,1,2
71,Luis,"Um Okay, to be honest, I didn't really read that whole thing cuz I figured I already knew the answer",,,210.3,response,2,1,2
71,Teacher,"awesome well Luis I have a job for you, I want you to look at this text and find me a piece of equipment that the text mentions okay Luis",Task,Read,420.3,remark,2,1,2
71,Luis,Okay,,,420.3,response,2,1,2
71,Teacher,awesome,,,,remark,2,1,2
71,Teacher,"Alright, so",,,,remark,2,1,2
71,Teacher,Farrah and Oliver you had the same answer so Dave i'm going to ask you to start Oliver what made you say your answer,Question,Verbal Response,230.1,remark,2,1,2
71,Oliver,"Oh Well, maybe I think that's the answer to the question",,,,response,2,1,2
71,Teacher,"say more, why is it the answer to the question Oliver",Question,Verbal Response,230.1,remark,2,1,2
71,Oliver,i'm cause the questions asking arm what equipment data scientists used to discover water on the moon and i'm in this in this part of the story house,,,230.1,response,2,1,2
71,Oliver,"they're talking about water, the found, and then they also named a piece of equipment which is a microscope so it's got science water they found and the microscope in",,,,response,2,1,2
71,Teacher,Farrah was your reasoning similar to Olivers for why you said this answer was it different,Question,Verbal Response,230.1,remark,2,1,2
71,Farrah,"um I mean, I guess, he was pretty similar yeah I don't understand why my answers wrong",,,230.1,response,2,1,2
71,Farrah,"Because if it answers the question about a science equipment, the microscope has the equipment and they are using it to look at the water",,,,response,2,1,2
71,Teacher,yeah so I love that you both know that microscopes are used to look at small things and that you were able to pull that out of the text,Affirmation,smile,310.1,remark,2,1,2
71,Teacher,My question for both of you is did the scientists actually use that equipment when they were working on the moon,Question,Verbal Response,210.3,remark,2,1,2
71,Teacher,can you reread that chunk of the text for me,Task,Read out loud,120.3,remark,2,1,2
71,Farrah,"Let me see, This means the moon is dry, the water they found us microscopic meaning you won't be able to see it if you're looking straight at it, we need a scientific tool called a microscope to look really closely",,,,response,2,1,2
71,Farrah,"I mean, I guess, I don't say bye all of all, there are looking I thought microscope alone",,,,response,2,1,2
71,Teacher,yeah that's right it doesn't really say that the scientists are using that,,,210.4,remark,2,1,2
71,Teacher,At least here in this case so Farrah and deb I want you to look back at the text and see if you can find a piece of equipment that the scientists used when they were discovering the water so look back at the text and see if you can find a better piece of equipment,Question,Verbal Response,420.3,remark,2,1,2
71,Teacher,"All right, Jazmin",,,,remark,2,1,2
71,Teacher,yeah Chris oh yeah,Question,Verbal Response,,remark,2,1,2
71,Chris,cuz I was just listening to the conversation and I went to NASA so I know that scientists use a lot of equipment like oxygen tanks and masks and,,,,response,2,1,2
71,Teacher,yeah they do Chris,Explanation,none,110.1,remark,2,1,2
