intent,actor,keys,trigger,text
140.1,Chris,"would--,think,that,they,would,need,oxygen,tanks"," Why would-- why do you think that they would need the oxygen tanks? "," The atmosphere on the space shuttle and on the moon isn't the same as the atmosphere here"
140.1,Chris,,,Because they can't breathe
140.1,Jazmin,"about,jazmin,tell,something,that,know,about,space,that,also,with,what,chris,luis,telling,that,good,chris","How about Jazmin? Can you tell me something that you know about space that can also add in with what Chris and Luis is telling us?  That is a good job, Chris "," And so we might have to live on Mars or something if they keep destroying our Earth"
140.1,Jazmin,,,"Well, I don't know a lot about space, but I know that our environment is really bad"
140.1,Oliver,"because,atmosphere,which,that,breathe,which,oxygen,tanks,that,talking,about,into,space,that,messed,then,won't,have,here,earth,would,have,look,some,other,place,possibly,live,that,good,point,about,oliver,have,anything,input"," Because if our atmosphere, which is the air that we breathe, which is in the oxygen tanks that we are talking about going into space, if that is messed up, then we won't have any air here on Earth, so we would have to look for some other place to possibly live That is a good point  How about you, Oliver? Do you have anything to input? ","I'm not really into space, so--"
140.1,Farrah,"about,farrah,have,input,group,people,aren't,space,people,into,oceans,stuff,which,very,interesting,learn,about,well,that's,people,more,environment,like,jazmin,talking,about"," How about you, Farrah? Do you have any input to go with the group?  A lot of people aren't into space  Some people are into the oceans and stuff, which is very interesting too to learn about  Well, that's OK  Some people are more into the environment, like Jazmin was talking about "," So they didn't go into space, but they traveled through space and time"
140.1,Farrah,,,"Well, I read-- I read this book, A Wrinkle in Time, which is about going to different universes"
140.1,Farrah,"that,what,would,consider,fiction,nonfiction,story"," Is that what you would consider a fiction or a nonfiction story? ",LAUGHS
140.1,Farrah,,," We are able to do a lot of things"
140.1,Farrah,,," But if you look back in the older books from the past, a lot of stuff has come out that people thought was just science fiction and would not happen, and with science, we have brought it about"
140.1,Farrah,,,That is pretty cool fiction
140.1,Farrah,,," Like back in the 1930s-- is that a long time ago?"
140.1,Farrah,"they,wind,wall,they,didn't,have,phones,back,then,cell,phones,like,they,didn't,have,anything,like,that,there,cartoons,books,about,phones"," They had to wind on the wall Yes, they didn't have phones back then, the cell phones, like this  They didn't have anything like that And there was cartoons and books about phones ",Really?
140.1,Chris,"have,today,people,thought,that,just,that,science,fiction,that,realistic"," But do we have it today? And people thought that was just going to be-- that was science fiction, and that was not realistic "," Yes, we've got lots of phones"
140.1,Chris,,,"Oh wow, yes"
140.1,Chris,"like,have,seen,latest,results,stuff,titan,moon,saturn,used,science,fiction,that,would,able,space,which,what,been,studying,about,space,going,moon,being,able,these,different,explorations"," Like have you seen the latest results and stuff from Titan, the moon on Saturn?  And it used to be science fiction that we would be able to go into space, which is what we've been studying about is space and going to the moon and being able to do all these different explorations ","Oh, man"
140.1,Chris,,," No, no"
140.1,Chris,,," When me and my dad went to NASA, we saw about that the whole controversy about when Pluto was a planet, and then it wasn't a planet, and then it was a planet, but I didn't know anything about Saturn"
140.1,Jazmin,"there's,actually,moon,that's,called,titan,saturn,moons,that,floating,around,they,think,that,they,have,found,life,it's,cold,there,well,they're,microscopic,aliens,that,live,very,very,cold,because,really,cold,moon,that,moon,like,below,zero,they,think,that,their,equipment,like,what,they,moon,that,was--,that,they,used,find,water,moon,they,think,that,they,found,lifeforms,that,have,existed,titan"," And there's actually a moon that's called Titan  Saturn has a lot of moons that are floating around it  And they think that they may have found life on it  So it's really cold there Well, they're microscopic aliens that live in the very, very cold, because it's really, really cold on the moon  On that moon, it's like 200 below zero  But they think that with their equipment, like what they had on the moon that was-- that they used to find the water on the moon, they think that they found some lifeforms that may have existed on Titan "," Oh, wow"
140.1,Jazmin,,,Huh
140.1,Jazmin,,," That's pretty cool"
140.1,Luis,"that's,pretty,good,stuff,what,think,about,that,audio,know,there,outer,space,stuff"," That's pretty good stuff  What do you think about that, AUDIO OUT]? You know, there and outer space and stuff "," I mean, that is pretty cool stuff"
140.1,Luis,,,No
140.1,Luis,,," That's like, wow"
140.1,Luis,,," I didn't know anything about the Saturn stuff and the moons and, like, teeny-weeny aliens"
140.1,Luis,,," I didn't know that"
140.1,Luis,"we'll,more,that,study,about,outer,space,different,equipment,that,they're,using,rockets,satellites,stuff,that,they're,using,there"," Yes, and we'll go into more of that as we study on about outer space and the different equipment that they're using, with the rockets and the satellites and stuff that they're using out there ","OK, cool"
140.1,Oliver,"have,anything,else,have,interest,that,oliver,about,aliens,moon,saturn","OK? Do you have anything else? Do you have any interest in that, Oliver, about the aliens on the moon of Saturn? ","I mean, I think aliens are kind of cool"
140.1,Oliver,,," So yes, I'd be down to learn about that"
140.1,Jazmin,"which,that,very,good,that,said,your,answer,wasn't,wrong,were,talking,about,atmosphere,which,that,something,that,exploring,space,find,different,atmospheres,that,would,hold,life,earth"," Which that is very good that you said Your answer wasn't wrong  You were talking about the atmosphere, which that is something that we are exploring in space to find different atmospheres that would hold life from Earth ","No, I meant on the story"
140.1,Jazmin,,," But I told her that I think that I have the right answer"
140.1,Jazmin,,," My teacher said that we all had to come and work with you in a small group, because we needed more help with our answers"
140.1,Jazmin,"they,would,have,make,what,would,they,need,order,able,really,good,garden,moon","They would have to make a-- what would they need in order to be able to do a really good garden on the moon? ",I guess they'd have to bring the plants with them to plant on the moon
140.1,Jazmin,"like,martian","You like the martian? ",I like that movie
140.1,Jazmin,"what,think,your,answer,yeah,good,movie"," So what do you think you can do to add to your answer Yeah, it's a good movie "," You can't survive without water, having water on the moon would mean more room on the spacecraft, water is heavy"
140.1,Jazmin,,," So I can say I should ask and drink the water"
140.1,Jazmin,,,"Um, okay"
140.1,Oliver,"what,that,mean,around,earth,bottom"," So what does that mean, is it around the earth or is it the top and the bottom ","Um, it's at the top and the bottom"
140.1,Chris,"very,good,look,that,teacheri,feel,like,question,phrased,because,they,would,that,they,were,specifically,talking,about,oliverice,that,discovered,water,behind,scenes,like,like,refrigerator,kind,think,about,somebody,asked,what,keeps,your,food,cold,that,would,like,refrigerator,wouldn't,plug,that,plugs,outlet,that,supplies,power","A very good way to look at that Teacher:I feel like the way the question was phrased Because yes, they would use all of that  but  They were specifically talking about the Oliverice that discovered the water, not the behind the scenes like um  Um like a refrigerator Kind of how I think about it If somebody asked you what keeps your food cold use that you would say like the refrigerator, you wouldn't say the plug that plugs into the outlet that supplies the power ","Okay, okay, I think"
140.1,Chris,"that's,cool,well,fact,when,first,grade,wanted,astronaut,know,that,goal,obviously,didn't,live,that","Oh, that's really cool Well, fun fact, when I was in first grade  I wanted to be an astronaut  But, you know, that was my goal  So obviously I didn't live up to that ",RER: You're a really good teacher
140.1,Chris,"kennedy,center,or--,texas,florida,john"," Kennedy center, or-- Did you go to the one in Texas or Florida? Did you go to the John F "," Kennedy center"
140.1,Chris,,,The John F
140.1,Chris,"think,that's,named,after,president,kennedy"," Was it fun? Oh, so I think that's the one named after president Kennedy "," We got to see a lot of space shuttles, and astronaut, space chutes, and all of the different ways that they can breathe upon in space"
140.1,Chris,,,It was a lot of fun
140.1,Luis,"well,know,liked,your,response,scientists,equipment,like,oxygen,tanks,that,mean,know,everything,about,what,scientists,using,space,oxygen,tank,work","Well, you know, I liked your response, the scientists use a lot of equipment like oxygen tanks, but does that mean you know everything about what scientists using in space? How does an oxygen tank work? "," I mean there isn't gravity in space, but they're also isn't any oxygen and trees and carbon dioxide"
140.1,Luis,,," So the site, so the astronauts have to wear these oxygen tanks in order to breathe when they're up in space, so they have, they have a whole a whole space suit"
140.1,Luis,,,"Okay, because there isn't any gravity"
140.1,Luis,"what,some,thoughts,that,you've,text,prior,answering,questions","So what are some thoughts that you've had on the text prior to answering any of the questions? "," Um, I already kind of know like all about space and like I kind of like know like all this stuff"
140.1,Luis,,,"Um, so I just wanted to say"
140.1,Luis,,," So I don't think I need to be in this group"
140.1,Luis,"well,actually,show,them,beating,them,game,you're,using,actions,instead,words,convince,them","Well, you actually show them by beating them in the game  So you're using actions, instead of words to convince them ",Yeah
140.1,Luis,"know,name,facility,that,your,works","Do you know the name of the facility that your dad works at ",I yeah he works at that that's Dennis Space Center
140.1,Luis,,," I'm in Mississippi, and he kind of like commute, so we don't get to see him as often as you know we like"
140.1,Luis,"well,that's,that's,unfortunate,able,speak,regular,basis,perhaps,online,activity,hearing,stories","Well that's that's unfortunate, but does he, uh, are you able to speak to him on a regular basis, perhaps, or some online activity or is hearing stories ",Yeah yeah we talk on Skype all the time
140.1,Chris,"look,equipment,look,microscope,that,equipment,looking,deeper,question,just,like,today,once,you're,sitting,there,were,school,right,because,looking,what,equipment,just,like,today,sitting,front,okay,scientist,we're,astronauts,there's,things,that,know,what's,equipment,have,right,thats,helping,your,work,chris,right,every,your,student,school,right"," You look at equipment you look at microscope and that is an equipment, but we're looking deeper into the question just like today  And once you run it  You're sitting there were at school All right, because we're looking at what equipment is just like today, sitting in front of you, okay Now we're not scientist and we're not astronauts and there's some things that we do know  So what's an equipment you have right now  Thats helping you with your work, Chris  But right now, you every one of your student at school, right "," Well that's a good question"
140.1,Chris,,," Oh"
140.1,Chris,,," But I was gonna say first, just real quick because I went to NASA"
140.1,Chris,,,Oh
140.1,Farrah,"enjoy,reading,passage","So did you enjoy reading the passage ","You know, I think we did"
140.1,Farrah,"it's,small,what's,something,that,could,okay,what's,something,that,today,you've,ever,used,want,look,something,very,close"," It's really small, what's something that we could use Okay, what's something that we use today or you've ever used if we want to look at something very close ",Um like different than a microscope?
140.1,Chris,"yeah,like,magnifying,glass,many,have,ever,seen,microscope,right,chris,where,microscope","Yeah, like a magnifying glass  How many of you have ever seen a microscope All right, so Chris  Where did you see a microscope at ","Um, so, I saw a microscope, like in science class"
140.1,Chris,,," Um like, I've seen it in a couple places, but I think we've all seen it in science class"
140.1,Chris,,," And also we've like, you know, we've seen it in movies and stuff like that"
140.1,Luis,"what,want,tell,about,space,luis,already,know,about,space"," What do you want me to tell me about space Luis? Oh you already know a lot about space "," Like, all that kind of stuff"
140.1,Luis,,,"Um, well, there's like, I know all about like rocket launches and I know about like you have to where spacesuits and oxygen tanks and like you know like I know that like space is a vacuum"
140.1,Chris,"when,younger,different,times,they,kinds,really,cool,equipment,went,nasa,well"," When I was younger, two different times and they use all kinds of really cool equipment  I went to NASA as well ","Yeah, it's really cool there"
140.1,Chris,,," I had a great time with my dad"
140.1,Jazmin,"great,time,there,well","I had a great time there as well ","OK, I see it says that NASA scientists small machine called a lunar orbiter"
140.1,Chris,"that,such,great,comment,it's,great,that,you're,able,that,with,real,world,experience,would,think,that,they,definitely,those,things,moon,don't,think,that,they,necessarily,articles,necessarily,focusing,those,things,just,because,focusing,more,moon's,climate,rather,than,specific,equipment,moon,anything,about,moon,being,like,desert,when,were,your,question,asked,about,equipment,article,talking,about,moon,like,desert","That is such a great comment, and it's really great that you're able to tie that in with a real world experience and I would think that they definitely use those things on the moon But I don't think that they necessarily, this articles necessarily focusing on those things just because it's focusing more on the moon's climate, rather than specific equipment on the moon  Did you see anything about the moon being like a desert when you were with your dad The question asked about the equipment, but the article is talking about how the moon is like a desert ",I'm not really like that wasn't really what was in the exhibit that was that was from like reading
140.1,Chris,,," I didn't know that before today"
140.1,Oliver,"anyone,else,know,that,moon,like,desert,seems,like,learned,something,today,well,that's,great"," Did anyone else know that the moon is like a desert  It seems like you learned something today Oh, well, that's great ","Um, yeah, I sort of knew"
140.1,Luis,"tell,what,know,about,space"," Tell me what you know about space ","Oh man, I know all sorts of stuff"
140.1,Luis,,," It's a vacuum"
140.1,Luis,,," So you have to use oxygen tanks at masks and I know that like"
140.1,Luis,,," I know that space is like like huge and like unimaginably huge and like it has stars and like when you go into space"
140.1,Chris,"don't,know,that's,truth,mean,don't,know,like,that's,like,truthful,like,that's,interesting,read,where,read,like,don't,know,it's,necessarily,possible,that's,super,cool"," I don't know if that's the truth is, I mean, I don't know, like that's the like a truthful, like a Oh, that's really interesting  But if you read it  Where do you read it up Like a, I don't know if it's necessarily possible  That's super cool ","Oh, some some article in a magazine"
140.1,Farrah,"anything,could,happen,honestly,wouldn't,surprised,next,year,they,something,crazy,everything,happening,mean,point,time,this,year"," Anything could happen  Honestly, I wouldn't be surprised if next year, they did something crazy with everything happening  So I mean, at this point in time and this year ",So I just would surely we have to go to lunch
140.1,Oliver,"okay,first,want,make,sure,that,have,clear,understanding,what,question,actually,asking,anybody,give,synonym,word,equipment,what,equipment,scientists,used,discover,water,moon,first,want,make,sure,that,know,what,word,equipment,means,that's,exactly,right,give,examples,tools,debbie,your,hand,raised,give,example,tool"," Okay, so first I want to make sure that we have a clear understanding of what the question is actually asking so  So can anybody give me a synonym for the word equipment What equipment and scientists used to discover water on the moon  First of all, I want to make sure that we know what the word equipment means  That's exactly right  So give me some examples of tools  Debbie had your hand raised  Can you give me an example of a tool ","Yeah, so, um, one on are playing a video game when I use my Xbox controller and that's equipment about are you so that's like a tool"
140.1,Luis,"there,anybody,else,that,wanted,share,tool,that's,absolutely,right"," Is there anybody else that wanted to share a tool  That's absolutely right ","Okay, well,"
140.1,Chris,"we've,already,said,valuable,moon,base,moon,then,that,means,water,that,found,used,directly,moon,which,means,what,yeah,find,water,refill,moon,what,think,that,would,mean,what,allow,have,fill,your,halfway,through,trip,drive,very,right,think,about,like,station,they,wouldn't,stranded,need,fill,station,station"," We've already said it's valuable and we can put a moon base on the moon, then that means the water that we found can be used directly on the moon, which means what Yeah, so if we if we can find water and use it If we can refill up on the moon What do you think that would mean  What does it allow you to do if you have a way to fill up your car halfway through a trip  So if you drive very far  You are right, think about like a gas station They wouldn't get stranded  And you need to fill up on a gas station at a gas station ",We wouldn't run out of gas
140.1,Jazmin,"won't,lets,like,you're,gonna,we're,beach,halfway,there's,station,gonna,turn,back,around,right","You won't run out of gas  And it lets you like you're not gonna if we're going to the beach and we run out of gas halfway and there's a gas station  We're not gonna turn back around, right "," We'll just get more gas"
140.1,Jazmin,,,No
140.1,Luis,,,Mhmm
140.1,Farrah,like,"So like an ant ","Yeah, yeah, just like an aunt or something like that"
140.1,Farrah,"look,something,that's,smaller,than,because,didn't,eyes","Can I look at something that's smaller than and because I didn't see an am with my eyes ",I'm walking
140.1,Farrah,,," Yeah"
140.1,Farrah,,," Yeah"
140.1,Farrah,,," Um, oh, I don't remember the names of it, but we look at things that are like little bitty teeny, teeny thing"
140.1,Farrah,,," Like in science class, we look at like these little bitty"
140.1,Oliver,,,"Yeah, like an amoeba also have an hour with a cold amoeba"
140.1,Oliver,"knows,what,periodic,element,oxygen,periodic,element,table,there,owed,that,stands,oxygen,water,oliveron","Oh, who knows what the periodic element is for oxygen So on the periodic element table there is owed to that stands for oxygen, water is H two O Mr Oliveron ","Yeah, I'm sorry to interrupt you, Miss I burnt"
140.1,Oliver,,," So thanks for working with us"
140.1,Oliver,,," I think I just looked at the clock and it's time for us to go to lunch"
140.1,Farrah,"know,anywhere,else,that,they,might,microscope"," Do you know anywhere else that they might use a microscope  Yes, you do ","Like, well we use it in like science class"
140.1,Chris,"know,what,they,oxygen,them,suits,that,your,classmates,might,okay,thank,using,your,outside,knowledge,contribute,conversation","Do you know what they use oxygen for them suits that your classmates might not Okay, thank you for using your outside knowledge to contribute to the conversation ","Oh yeah, So they use on a breathe because, while the oxygen tanks are to breathe because there isn't any oxygen up there in space and then the suits because it's so cool that if if the air touch their skins, they would they would freeze to death and then shattered pieces"
140.1,Chris,"that's,cool,fact,chris,where,read,that","that's really cool fact Chris, where did you read that ","me and my dad had been reading this book about aviation and then we went to NASA so there was this whole exhibit about the traveling to the moon, and then what their plans are in the future"
140.1,Chris,"there's,possibility,there's,what,oliver,said,what,said,there,others,that,have,found,okay,what,about,equipment,that's,talked,about,text,they,moon","there's the possibility there's what Oliver said what he said, is there any others, that you have found Okay, what about equipment that's not talked about in the text, How did they get to the moon ",I do know that I went to NASA so I know that scientists use a lot of equipment like oxygen tanks and masks and suits
140.1,Chris,"that,correct,maybe,might,have,there,soon,went,nasa,wish,wish,well,since,you've,gone,there,could,think,like,things,that,that,there"," That is correct  Maybe I might have to go there soon  I went to NASA  I wish, I wish  Well, since you've gone there  Um, could you think of like two things that that you saw there "," So I saw that they use like these are core to keep them like attached to the ship"
140.1,Chris,,,"Oh yeah, absolutely"
140.1,Chris,,," If they had to do, like, you know what I mean, like a spot"
140.1,Jazmin,"that,that's,cool,have,been,military,they,both,might,something,like,that,that's,cool,yeah,think,something,eggs,something"," That that's really cool  I am I am I have been for the military or they both might use it but I saw something like that  That's really cool Yeah, I think I saw something with eggs or something ","Unfortunately, we have to go to lunch, but"
140.1,Farrah,"does,everybody,here,have,knowledge,space,just,couple","Does everybody here have any any knowledge on space or is it just a couple of you ",It's just a few of us
140.1,Farrah,"there,little,more,details,like,what,guys,came,wish,they,little,more,details,like,oliver,jazmin,guys,have,background,knowledge,it's,good,guys,some,good,responses,couple,them,there,anymore,knowledge,guys,have"," There was us a little bit more details,  I like what you guys came up with  I wish they had a little bit more details like for Oliver and Jazmin but you guys have some background knowledge and it's really good You guys had some really good responses for a couple of them Is there anymore knowledge you guys have ","Um, so, unfortunately, we have to go to lunch"
140.1,Farrah,,," But before we go to lunch"
140.1,Farrah,,," I just really wanted to thank you for working with us, and in particular"
140.1,Chris,"went,nasa,really","You went to NASA? Really? ","Yeah, with my dad"
140.1,Chris,,," I went to NASA"
140.1,Chris,,," So I do know that scientists use a lot of equipment like"
140.1,Luis,"yeah,anyone,else,seen,anything,nasa,reach,luis,well","Yeah, has anyone else seen anything from NASA, you can reach so Luis has as well ","Well, I didn't go to NASA, but I did, um, I've seen that in box"
140.1,Luis,,," Yeah"
140.1,Farrah,"would,anyone,ever,want,space,what,about,would,want,would","would anyone ever want to go to space  What about you, would you want to or would you not ","Oh yeah, definitely"
140.1,Chris,"water,hiding,craters","The water is hiding in the craters ",So they're full of water at the bottom?
140.1,Chris,"that's,very,cool,chris,maybe,maybe,have,read,about,that,next,time","Oh that's very cool Chris Maybe maybe we'll have to read about that next time ",yeah yeah
140.1,Luis,"like,read","So you like to read ",Yeah
140.1,Jazmin,"like,garden,yourself,jazmin,that's,love,that,answer"," Do you like to garden yourself Jazmin That's, I love that answer ","Yes, I love to garden and I love to be in nature"
140.1,Luis,"talk,about,tool,that,scientists,discover,water,moon,know,about,space,where,learn,about,space,from,book,museum"," So we are going to talk about The tool that scientists use to discover water on the moon You know all about space really where did you learn about space  Was it from a book or do you get to go to a museum "," So I look at a lot of stuff on the internet like videos and learning about astronauts and watching launches of rocket"
140.1,Luis,,," Oh, it's so cool"
140.1,Luis,,,"Oh well, I like to watch a lot of videos like on YouTube"
140.1,Chris,"want,astronaut,when,you're,older,passionate,about,space"," Do you want to be an astronaut when you're older  You are so passionate about space "," Yeah"
140.1,Chris,,,That would be pretty cool
140.1,Luis,"everyone,doing,please,raise,your,hand,thank,oliver,would,anybody,else,like,tell,about,their,before,move,forward"," How is everyone doing please raise your hand Oh, thank you, Oliver  Would anybody else like to tell us about their day before we move forward ","Yeah, excuse me, I shouldn't be in this group, I already know all about space"
140.1,Oliver,"anyone,else,take,anything,text,that,main,idea,anything,anyone,else,notice,anything,think,anything,cool,yeah,really,cool,thing,like,that,shirt,have,same,shirt,actually,that's,really,cool,shirt","anyone else take anything from the text that was the main idea, but anything anyone else notice anything or think anything was cool Yeah, so really cool thing  I like that shirt I have the same shirt  Actually, that's a really cool shirt ",Thank you
140.1,Farrah,"could,they,discovered,water,let's,bring,consensus,think,only,have,like,seconds,minute,left,wrap,information,went,back,discovered,important,that,same,page,general,idea,answer,question,also,question,more,time,what,equipment,scientists,used,discover,water,moon,what,heard,guys,that,they,used,lunar,orbiter,discover,water,moon,think,someone,mentioned,that,great,piece,information,that,that,lunar,craters,water,microscopic,small,that,they,might,even,need,microscope,find,that,water,they,might,have,microscope,because,there's,such,small,amounts,water,even,when,they,there,lunar,orbiter,glad,you're,here,today,we've,been,reading,exciting,news,about,water,being,discovered,moon,places,right,know,totally,hang,second,know,were,interested,that,same,question,like,scientists,away,find,water,well,know,know,that,because,last,night,class,learned,about,what,were,interested,we're,glad,you're,here,because,help,think,through,this,question,like,scientists,right,away,earth,find,water,were,surprised,farrah,that,scientists,found,water,moon,like,well,thought,about,night,know,luis,know,about,this"," So you could say they discovered the water, let's bring this to a consensus, I think only have like 30 seconds or a minute left So to wrap this all up  And we use the information we we went back and discovered  It's important that we're on the same page To put into one general idea to answer this question, so also the question more time what equipment did scientists used to discover water on the moon And what I heard from you guys is that they used a lunar orbiter to discover water on the moon  I think someone mentioned that great piece of information That was in that was in lunar craters And the water is microscopic it's so small that they might even need a microscope to find that water  They might have had to use a microscope, because there's such small amounts of water  So even when they got there with the Lunar Orbiter But I'm glad you're here today  And we've been reading some exciting news about water being discovered on the moon, of all places, right And I know some of you are totally see it as  Hang on one second  I know some of you were really interested in that and had the same question I did like how did the scientists so far away, find water Well, you know, I know that because last night we met with our class and we learned all about what you were interested in  So we're really glad you're here because you can really help us Think through this, this question like how did scientists right so far away on Earth, find water Were you surprised Farrah, that the scientists found water on the moon  I was like, Well, I thought about this all night And so we I know Luis you know a lot about this "," I thought it was just, I don't know, dry up there"
140.1,Farrah,,,"Yeah, I never thought there would be water on the moon"
140.1,Oliver,"think,that's,what,scientists,thought,about,oliver,were,surprised"," I think that's what the scientists thought too how about you, Oliver  Were you surprised "," I wasn't really, I never really thought about it, I guess"
140.1,Oliver,,,"Oh well, I don't think I never really thought about that before, like maybe there is water on the moon, maybe around the moon"
140.1,Jazmin,"about,jazmin,were,surprised,that's,really,good,reason,reading,current,news,yeah,those,this,article,made,think,about,something","How about you, Jazmin  Were you surprised  That's a really good reason to be reading current news Yeah, so those are this article made you think about something new ","Yes, I would say I would say I was surprised"
140.1,Chris,"about,chris","How about you, Chris ","Oh well, I actually went to NASA and well I didn't know there was water on the moon, but I thought it was really cool"
140.1,Luis,"fact,that,there's,water,intriguing,liked,space,like,seeing,moon,there,night,thought,great,know,there's,there,information,this,article,wasn't,there,luis,someone,who's,experienced,about,space,wasn't,there,information,about,article"," So the fact that there's water on it is really intriguing for me  I really liked space and I like seeing the moon way up there at night  I thought this was great So, you know, there's a there was a lot of information in this article wasn't there  Luis or someone who's experienced about space, wasn't there a lot of information about in the article ","Yeah, yeah"
140.1,Luis,,," There was stuff in there"
140.1,Luis,"luis,like,reading,over,paragraph,know,find,interesting,thoughts","So Luis did you did you like reading over this paragraph, or you know, did you find it interesting or any thoughts ","yeah I thought it was a really interesting because I didn't actually know that there was water on the moon, before I read this and I thought it was so cool how they sent that lunar orbiter"
140.1,Oliver,"yeah,jazmin,like,spark,interest","yeah and Jazmin like was this the spark any interest in you or yes ","i'm i'm so sorry I just looked at the clock and it's time for us to go to lunch, but I just wanted to say thank you so much for helping us see both the big picture and the sort of specifics of the equipment um That was a really helpful way, to put it Thank you so much"
140.1,Luis,"awesome,thanks,luis,okay,first,briefly,before,know,tackle,your,guys's,responses,wanted,know,just,raise,hands,would,love,moon,someday,luis,want,moon","awesome thanks Luis okay so first briefly before we you know tackle your guys's responses, I wanted to know just by raise of hands, who would love to go to the moon someday Luis, why do you want to go to the moon ","Oh man well what just be such a cool experience to feel like zero gravity up there, I can't wait, I really want to go to space camp, because you get to kind of try it out like almost before you get to be an astronaut, and I want to discover new planets and galaxies too"
140.1,Jazmin,"absolutely,know,didn't,raise,your,hand,wouldn't,want,moon,anyone,wants,share","Absolutely me too, so you know some of you didn't raise your hand, so why wouldn't you want to go to the moon, if anyone wants to share ","Yes, I can share"
140.1,Farrah,"let's,let's,kind,unpack,lunar,orbiter,minute,minute,there,anyone,have,chance,this,group,speak,spanish,raise,hands,anyone,very,good,that's,exactly,right,each,okay,well,know,word,what,word,moon,french,know","so let's let's kind of unpack lunar orbiter for a minute for a minute there does anyone have by chance in this group speak Spanish by raise of hands anyone Very good that's exactly right Each okay well um you know the word for what is the word for moon in French, do you know ",it's something we can like lune
140.1,Luis,"yeah,luis,know,anything,else,about,moon","yeah Luis Do you know anything else about the moon ","um not Really, about the moon, no"
140.1,Chris,"chris,that's,cool,would,guys,like,moon","No way Chris that's so cool would you guys like to go to the moon ",yeah yeah
140.1,Farrah,"that's,amazing,because,know,what,then,thinking,that,maybe,because,know,much,about,space,already,kind,almost,like,expert,today,lesson,alright,first,wondering,what,everyone,think,about,passage,that,read,about,water,moon,anyone,have,thoughts,ideas,about,what,they,read,let's,farrah","And that's amazing because you know what if then i'm thinking that maybe because you know so much about space already you can kind of be almost like an expert for us today and for our lesson Alright, so first I was wondering what did everyone think about the passage that we read about water on the moon Is anyone have any thoughts or any ideas about what they read let's see Farrah ","Agile Teacher Lab: Well um I just found it surprising that there was water on the moon, I never thought about that, before, so I was very surprised"
140.1,Luis,"what's,your,favorite,thing,about,space,luis","what's your favorite thing about space Luis ","Oh, my oh wow oh that's really hard um I think my favorite thing about space as how um Pluto used to be a planet and then they said it was a dwarf planet"
140.1,Jazmin,"would,guys,excited,live,moon,could,yeah,that's,definitely,interesting,think,about","Would any of you guys be excited to live on the moon, if you could? yeah that's definitely interesting to think about ",I mean i'd like to live on the moon
